source_i,source_j,coherence,principal_angle_rad,sigma_min
7,20,0.33567285133532565,1.2284768917625473,10432.599559864753
7,21,0.3421475324352738,1.2215949083920714,9940.6148755363
7,23,0.2680674151908907,1.2994098610877776,10517.760474420817
7,24,0.3457081796293743,1.217802932814342,10330.277266359879
7,25,0.3463069093072032,1.2171647858907289,9293.51462303313
7,26,0.2515413012432089,1.3165238946304703,8344.131046294711
7,27,0.15992339615382256,1.4101832769673996,10886.356443599088
7,28,0.2564465926988268,1.3114522772351753,10357.994203667613
8,12,-0.3087848929718559,1.2568810976208045,5049.968342372232
8,15,0.1654980855330511,1.4045332867465483,10355.60445533676
8,16,0.2732064432244668,1.2940716099300447,18999.456722344214
8,18,0.2567225186147631,1.3111667938444982,7541.225924673318
8,20,0.2679944211183925,1.299485627427107,26017.508207157458
8,21,0.27737103107987443,1.2897396375004568,14549.936417368228
8,23,0.21226920628408052,1.356899825655553,17917.485734196158
8,24,0.27943160011442725,1.2875942497204114,23965.493688163697
8,25,0.28633945745451056,1.2803921961542573,11369.495484210789
8,26,0.20189733981535685,1.3675015575797844,8815.90859519894
8,27,0.12348530295023469,1.446995020551815,17341.89481641252
8,28,0.2056023781426912,1.3637171307562572,14180.247684871038
12,15,-0.6749092397280216,0.8299546294510735,3688.0194786594157
12,16,-0.8929326246208464,0.46697847253876534,2332.0807276780697
12,18,-0.8485205622722738,0.5576131422261047,2406.9774677740584
12,20,-0.9147397677668385,0.41593294623847427,2135.42160150224
12,21,-0.7371818952427506,0.7419061925993025,3477.1688511938805
12,23,-0.8120662067077982,0.6231122235157687,3021.9979791999804
12,24,-0.9320698246604673,0.3707114878556397,1899.2447787630495
12,25,-0.851724301113965,0.5515290686095051,2598.842518965763
12,26,-0.7584019869915475,0.7099384621681631,3129.5731982775224
12,27,-0.5756158523772572,0.9574392448643867,4280.953175511729
12,28,-0.7883518300371914,0.6626709192164381,3139.5978157094296
15,16,0.9038921277067264,0.44201367057768215,4069.2056728829916
15,18,0.9298106817400563,0.3768982154607413,2349.1029193147233
15,20,0.8585068822579973,0.5384454743944488,5279.377198897167
15,21,0.9356800165937884,0.36061494744095784,3109.0296877759124
15,23,0.7081847418334934,0.7838725324643564,6828.146384890414
15,24,0.8242065912959463,0.6019966249646342,5699.8172407934135
15,25,0.7377933395403439,0.7410008327908214,5716.602814405529
15,26,0.543377282513531,0.9963414073459274,6514.874186214842
15,27,0.3623136863844838,1.2000472809433065,9498.29804703326
15,28,0.5542381548895463,0.9833489251018848,7912.498100592051
16,18,0.9845199370855754,0.1761826741292622,1283.5771374680517
16,20,0.9904647303674773,0.13820609135436415,2552.331630531087
16,21,0.924722007818513,0.39049170419159135,4768.966267813094
16,23,0.8594013874685272,0.5366985710382733,7315.282614322499
16,24,0.9850486014906468,0.17314043525393952,2892.5572262676365
16,25,0.8768895274457371,0.5014436448207585,5089.276736639422
16,26,0.7095975548573843,0.7818694442452009,6043.265684749751
16,27,0.5029745207489554,1.04375945142326,13224.398678185733
16,28,0.7339461528377209,0.7466825324867329,8596.87186857499
18,20,0.9649800613923218,0.26542896800941485,2021.5050628372805
18,21,0.9202022311827635,0.4021995253246775,2766.180012856518
18,23,0.8241408864134302,0.6021126422433973,4177.036861098734
18,24,0.9533214742181394,0.306745048951459,2287.6411347130847
18,25,0.8919357093722583,0.4691880630775894,3030.734450026799
18,26,0.7058685746501857,0.7871477222889769,4524.729946070888
18,27,0.4998373819682717,1.0473853161490505,6589.876260444165
18,28,0.7267825325717885,0.7571703212973768,4965.891042322344
20,21,0.8879962716894346,0.4778270049709636,6735.969793092591
20,23,0.8632169666056371,0.5291886190044104,8793.669588859506
20,24,0.9892522994800155,0.14674473119570236,3516.8669729427315
20,25,0.8754113354738448,0.5045102058922915,5620.484803612775
20,26,0.7223063366068134,0.7636648765358803,6167.768041702332
20,27,0.5159737295159836,1.02865233434549,14678.858459252671
20,28,0.750368655617782,0.7221767166490671,9339.616515918586
21,23,0.6551214748431458,0.8564529351882649,9814.832958080888
21,24,0.8592397412054339,0.5370146337349109,7122.889255179351
21,25,0.7798161673086558,0.6764242217162124,6245.970654322938
21,26,0.6213251881611085,0.9003634996385892,6558.440974650639
21,27,0.449401282488857,1.1047013094894003,12085.175823364774
21,28,0.6321759523624858,0.886438006435194,9083.545995879711
23,24,0.9018676137573238,0.4467230770235311,6916.2360093071775
23,25,0.7401214795449665,0.7375453404771616,7161.245804422624
23,26,0.6082936007935057,0.9168874085407754,6828.614723813226
23,27,0.4232150482672455,1.1338054315470396,13718.768531090405
23,28,0.6324266417839266,0.8861144203767836,9780.862696990793
24,25,0.8843869413615697,0.4856174045263784,5239.125380450219
24,26,0.7407036638351666,0.7366791914711902,5900.177598242549
24,27,0.5379740714816512,1.002764412444265,13877.601295617787
24,28,0.7675513475065968,0.6957840875335666,8674.801662021915
25,26,0.9320734498324035,0.37070148114312024,2652.532415780145
25,27,0.8042698696007561,0.6363505113048762,6141.999266829661
25,28,0.9306010545190424,0.37474482688561184,3447.6741463264666
26,27,0.9474029513003505,0.3257750819853607,2591.0441411759757
26,28,0.9898696522951349,0.14246050717162376,1092.0860758170331
27,28,0.903881944512345,0.4420374758119994,4919.46228965359
