bus_i,bus_j,coherence,principal_angle_deg,J_gj
7,25,0.3463069093072031,69.73840520348325,108818862.55537409
7,26,0.2515413012432089,75.43126279045185,115824181.29108708
7,27,0.15992339615382264,80.79755011016003,120485396.44497798
7,28,0.2564465926988266,75.14068051839632,115516072.28562024
8,3,0.2590174946361189,74.98822825368327,712475013.6419488
8,4,-0.011005636513748465,89.3694107465511,763620031.4507449
8,7,0.9735338392024492,13.211302224795933,39890129.22864342
8,12,-0.3087848929718559,72.01398224344251,690893988.4639972
8,15,0.1654980855330511,80.47382951621506,742794742.0751715
8,16,0.27320644322446686,74.14484163669131,706707687.1457312
8,18,0.2567225186147632,75.12432352498944,713378952.1719298
8,20,0.2679944211183924,74.45504198948296,708861929.9434452
8,21,0.27737103107987443,73.8966378995089,704956549.0885565
8,23,0.2122692062840805,77.7446332321004,729301011.0614629
8,24,0.27943160011442736,73.77371623429335,704080318.5866067
8,25,0.28633945745451056,73.36106896112558,701095527.0395137
8,26,0.2018973398153569,78.35206772688798,732581675.811009
8,27,0.12348530295023476,82.90670765406482,752066973.1190511
8,28,0.20560237814269114,78.13523604202376,731428621.0415791
12,3,-0.890393607565626,27.077250833559905,5862301.059618473
12,4,-0.6667249926009852,48.185201412043384,15716168.943469262
12,7,-0.3509452756155498,69.45485670937984,24808417.758251622
12,8,-0.3087848929718559,72.01398224344251,25595374.539927084
12,15,-0.6749092397280215,47.552897454890655,15405503.562876435
12,16,-0.8929326246208465,26.755895599937055,5734193.012654431
12,18,-0.848520562272274,31.94887965058389,7922421.8621794395
12,20,-0.9147397677668385,23.831202379906344,4618875.57089616
12,21,-0.7371818952427506,42.50809363056002,12917562.393589223
12,23,-0.8120662067077978,35.70170057046598,9635160.096206393
12,24,-0.9320698246604673,21.240203671143426,3713347.110988561
12,25,-0.8517243011139651,31.600287910105845,7768305.562787581
12,26,-0.7584019869915476,40.6764775962438,12019641.602385193
12,27,-0.5756158523772574,54.85722787092192,18918621.51453499
12,28,-0.7883518300371912,37.968246877156645,10708964.412224684
15,3,0.8571798279164775,30.998606372858184,29380418.89030677
15,4,0.8499005270736664,31.79914819137511,30756861.494454235
15,7,0.23321871819562617,76.51335446141167,104743259.39692193
15,8,0.1654980855330511,80.47382951621506,107734146.4961739
15,12,-0.6749092397280215,47.552897454890655,60312923.21057293
15,16,0.9038921277067263,25.325517811187094,20268227.684418008
15,18,0.9298106817400567,21.59467705191278,15003763.286531866
15,20,0.8585068822579972,30.850653180721363,29128221.163391575
15,21,0.9356800165937884,20.66171451769889,13790943.010829136
15,23,0.7081847418334932,44.912587786439246,55215029.42753065
15,24,0.8242065912959462,34.491865891593406,35521482.38817307
15,25,0.7377933395403438,42.4562203345933,50472674.84621361
15,26,0.5433772825135307,57.08615759504642,78062793.99317007
15,27,0.36231368638448375,68.75764441420165,96227386.20075777
15,28,0.5542381548895462,56.3417431970641,76742321.40364686
16,3,0.9692357398973116,14.248875659057523,25474694.82583922
16,4,0.8177322162771039,35.14157998893278,139317163.47970122
16,7,0.3422377736275821,69.98672989100841,371247204.78714234
16,8,0.27320644322446686,74.14484163669131,389112070.03820217
16,12,-0.8929326246208465,26.755895599937055,85223059.10905194
16,15,0.9038921277067263,25.325517811187094,76942467.02264863
16,18,0.9845199370855755,10.094523650935404,12917931.99895513
16,20,0.9904647303674773,7.918625737604562,7980907.387606502
16,21,0.9247220078185132,22.37352658504915,60925744.5942893
16,23,0.8594013874685271,30.750562991195274,109930699.6328097
16,24,0.9850486014906465,9.920216203108897,12480091.454663932
16,25,0.8768895274457371,28.730604511886547,97162463.08615041
16,26,0.7095975548573842,44.79781928548925,208765612.0429848
16,27,0.5029745207489554,59.803011393442866,314119630.05989325
16,28,0.7339461528377206,42.781757747629804,193985807.0677539
18,3,0.9804063623820146,11.360745853436997,2375939.1611121595
18,4,0.8797873204133507,28.383281350155585,13836457.869437113
18,7,0.32655093207896285,70.94043575501601,54700918.227607
18,8,0.2567225186147632,75.12432352498944,57194768.15219422
18,12,-0.848520562272274,31.94887965058389,17145253.139919348
18,15,0.9298106817400567,21.59467705191278,8293763.773877203
18,16,0.9845199370855755,10.094523650935404,1881023.0571758673
18,20,0.964980061392322,15.207959627452393,4213465.66917488
18,21,0.9202022311827636,23.044335323269074,9382177.602023691
18,23,0.8241408864134302,34.498513192017114,19642157.489676923
18,24,0.9533214742181395,17.57519669145242,5582860.645047314
18,25,0.8919357093722584,26.882495812263713,12518563.962365516
18,26,0.7058685746501859,45.100242340494155,30722243.543075383
18,27,0.4998373819682718,60.01075813931601,45932632.30873175
18,28,0.7267825325717884,43.38266378290421,28887638.423952885
20,3,0.9612403673379646,16.004432904022234,139792377.16767693
20,4,0.7860543797284401,38.18169907920288,702701842.2978411
20,7,0.3356728513353258,70.38654112734359,1631755606.8537056
20,8,0.2679944211183924,74.45504198948296,1706886910.108941
20,12,-0.9147397677668385,23.831202379906344,300212853.68932056
20,15,0.8585068822579972,30.850653180721363,483584646.6628983
20,16,0.9904647303674773,7.918625737604562,34902816.90215206
20,18,0.964980061392322,15.207959627452393,126545452.31962109
20,21,0.887996271689435,27.37747072221278,388871957.1858325
20,23,0.8632169666056367,30.320274435309262,468671640.6195154
20,24,0.9892522994800155,8.407853763295495,39316824.99272752
20,25,0.8754113354738448,28.906305518904496,429682910.79475975
20,26,0.7223063366068133,43.75477438788504,879527419.7436348
20,27,0.5159737295159839,58.937437344276624,1349377993.4682274
20,28,0.7503686556177818,41.377677926606694,803529188.7203058
21,3,0.8735625927157035,29.124687255413956,56123160.54272148
21,4,0.782041454284659,38.552129073054274,92021654.1358012
21,7,0.34214753243527385,69.99223252553612,209183341.90371433
21,8,0.27737103107987443,73.8966378995089,218690925.30117422
21,12,-0.7371818952427506,42.50809363056002,108168026.30268517
21,15,0.9356800165937884,20.66171451769889,29496998.216183603
21,16,0.9247220078185132,22.37352658504915,34326883.09055135
21,18,0.9202022311827636,23.044335323269074,36302459.54398897
21,20,0.887996271689435,27.37747072221278,50099332.94854537
21,23,0.6551214748431455,49.07113853787903,135236635.59796327
21,24,0.8592397412054341,30.76867204977409,62003154.0345934
21,25,0.7798161673086558,38.756253064760415,92845082.45485353
21,26,0.6213251881611086,51.58702855691977,145457084.9264515
21,27,0.4494012824888573,63.29472265631798,189069801.5741598
21,28,0.6321759523624856,50.789156568727144,142234655.67610812
23,3,0.8230359540427405,34.61013058513299,112299745.64305782
23,4,0.6573321379234713,48.90327754433406,197688509.30968195
23,7,0.26806741519089067,74.45070089801023,323081376.3544939
23,8,0.2122692062840805,77.7446332321004,332411007.1408963
23,12,-0.8120662067077978,35.70170057046598,118543416.73083636
23,15,0.7081847418334932,44.912587786439246,173516721.76002944
23,16,0.8594013874685271,30.750562991195274,91002366.29404071
23,18,0.8241408864134302,34.498513192017114,111666205.0831531
23,20,0.8632169666056367,30.320274435309262,88714408.36036316
23,21,0.6551214748431455,49.07113853787903,198698471.2791252
23,24,0.9018676137573234,25.59534692454599,64966750.10220027
23,25,0.7401214795449663,42.2582352088807,157415847.90783763
23,26,0.6082936007935057,52.533778798073705,219292864.2739156
23,27,0.4232150482672455,64.96226601665434,285747834.48960674
23,28,0.6324266417839262,50.77061645327097,208870063.94471234
24,3,0.9609173756511883,16.0714174560437,64248494.981181145
24,4,0.7661890470887803,39.98710879293536,346195951.40905225
24,7,0.3457081796293744,69.77496832891555,738146098.8440764
24,8,0.27943160011442736,73.77371623429335,772880288.2151268
24,12,-0.9320698246604673,21.240203671143426,110028577.66666842
24,15,0.8242065912959462,34.491865891593406,268841650.86577165
24,16,0.9850486014906465,9.920216203108897,24881290.80687797
24,18,0.9533214742181395,17.57519669145242,76438261.63966846
24,20,0.9892522994800155,8.407853763295495,17923605.268655896
24,21,0.8592397412054341,30.76867204977409,219399380.06819618
24,23,0.9018676137573234,25.59534692454599,156463336.88878834
24,25,0.8843869413615697,27.823827737458682,182640430.65954828
24,26,0.7407036638351665,42.20860852640907,378391323.3523339
24,27,0.5379740714816513,57.45416867897214,595710572.5348829
24,28,0.7675513475065965,39.86549166803443,344444312.0654842
25,3,0.9539623747448749,17.45317680042517,12901491.11281398
25,4,0.774063013090804,39.27984082306416,57486672.562738225
25,7,0.3463069093072031,69.73840520348325,126220171.70216477
25,8,0.28633945745451056,73.36106896112558,131661280.51000617
25,12,-0.8517243011139651,31.600287910105845,39378312.682339534
25,15,0.7377933395403438,42.4562203345933,65351061.31071703
25,16,0.8768895274457371,28.730604511886547,33139389.74882473
25,18,0.8919357093722584,26.882495812263713,29322390.873739436
25,20,0.8754113354738448,28.906305518904496,33510882.472239316
25,21,0.7798161673086558,38.756253064760415,56204536.66177167
25,23,0.7401214795449663,42.2582352088807,64857581.60779002
25,24,0.8843869413615697,27.823827737458682,31245521.25974658
25,26,0.9320734498324031,21.239630328749314,18822356.21646282
25,27,0.8042698696007562,36.46019858876137,50648895.53937122
25,28,0.9306010545190421,21.47129697490627,19215699.912149698
26,3,0.8142557246175882,35.48616403262023,27435818.390309162
26,4,0.633169157101379,50.715673840956086,48775417.203366
26,7,0.2515413012432089,75.43126279045185,76263547.96201313
26,8,0.2018973398153569,78.35206772688798,78096237.6494529
26,12,-0.7584019869915476,40.6764775962438,34587207.83296446
26,15,0.5433772825135307,57.08615759504642,57376439.86536892
26,16,0.7095975548573842,44.79781928548925,40420170.05266643
26,18,0.7058685746501859,45.100242340494155,40849897.941134036
26,20,0.7223063366068133,43.75477438788504,38938601.434375905
26,21,0.6213251881611086,51.58702855691977,49985095.663159125
26,23,0.6082936007935057,52.533778798073705,51289678.889468506
26,24,0.7407036638351665,42.20860852640907,36747280.40041593
26,25,0.9320734498324031,21.239630328749314,10684819.020229131
26,27,0.9474029513003507,18.665537268289505,8339138.355695307
26,28,0.9898696522951345,8.162385808227418,1641167.696725577
27,3,0.6251173728424951,51.309197173549144,187947742.72173524
27,4,0.49250199398426586,60.49483654218989,233671812.15544987
27,7,0.15992339615382264,80.79755011016003,300611274.26061755
27,8,0.12348530295023476,82.90670765406482,303797128.3783565
27,12,-0.5756158523772574,54.85722787092192,206284482.97662157
27,15,0.36231368638448375,68.75764441420165,268004003.7732442
27,16,0.5029745207489554,59.803011393442866,230455637.9540167
27,18,0.4998373819682718,60.01075813931601,231426170.88932157
27,20,0.5159737295159839,58.937437344276624,226369376.8589961
27,21,0.4494012824888573,63.29472265631798,246195949.26321024
27,23,0.4232150482672455,64.96226601665434,253245370.31040287
27,24,0.5379740714816513,57.45416867897214,219216090.68443924
27,25,0.8042698696007562,36.46019858876137,108947243.98305282
27,26,0.9474029513003507,18.665537268289505,31599067.462158263
27,28,0.9038819445123449,25.326881750643796,56454953.99455857
28,3,0.8318592257122648,33.70979818306576,65704655.70982826
28,4,0.6340965253306533,50.6469923952832,127548467.53817984
28,7,0.2564465926988266,75.14068051839632,199290779.52993554
28,8,0.20560237814269114,78.13523604202376,204302196.67947835
28,12,-0.7883518300371912,37.968246877156645,80741810.96309681
28,15,0.5542381548895462,56.3417431970641,147792182.81827578
28,16,0.7339461528377206,42.781757747629804,98409302.71482703
28,18,0.7267825325717884,43.38266378290421,100641502.79402177
28,20,0.7503686556177818,41.377677926606694,93209386.22201957
28,21,0.6321759523624856,50.789156568727144,128067254.41829857
28,23,0.6324266417839262,50.77061645327097,127999627.26893869
28,24,0.7675513475065965,39.86549166803443,87645591.58386166
28,25,0.9306010545190421,21.47129697490627,28580933.887658536
28,26,0.9898696522951345,8.162385808227418,4300114.159911007
28,27,0.9038819445123449,25.326881750643796,39036960.60340512
