source_i,source_j,sigma_min,coherence,classification
20,28,2363.0048798228067,0.9991516215024927,PERSISTENTLY_RESOLVABLE
21,23,2597.139687562047,0.9986142518225392,PERSISTENTLY_RESOLVABLE
21,24,1928.1423795347357,0.9994377925442376,PERSISTENTLY_RESOLVABLE
21,25,1805.6762709461302,0.9992093837183641,PERSISTENTLY_RESOLVABLE
21,26,1822.1491110953768,0.9985116105683013,PERSISTENTLY_RESOLVABLE
21,27,3285.587234215943,0.9976241142040005,PERSISTENTLY_RESOLVABLE
21,28,2404.0250411100837,0.9985688432041593,PERSISTENTLY_RESOLVABLE
23,24,1858.3599098436187,0.9995260769978416,PERSISTENTLY_RESOLVABLE
23,25,2050.2796903364733,0.9990394762906083,PERSISTENTLY_RESOLVABLE
23,26,1925.944888071552,0.9983890225672412,PERSISTENTLY_RESOLVABLE
23,27,3530.0871306232866,0.9974316687082091,PERSISTENTLY_RESOLVABLE
23,28,2533.2028477180493,0.9985006604533422,PERSISTENTLY_RESOLVABLE
24,25,1280.3318899191952,0.9997143234418766,PERSISTENTLY_RESOLVABLE
24,26,1554.7820070566036,0.999081214148014,PERSISTENTLY_RESOLVABLE
24,27,3485.330015268004,0.998154795084039,PERSISTENTLY_RESOLVABLE
24,28,2133.9550468443763,0.9991829022982306,PERSISTENTLY_RESOLVABLE
25,26,709.1247615129449,0.999763025995504,PERSISTENTLY_RESOLVABLE
25,27,1826.8522965767577,0.9991885410373267,PERSISTENTLY_RESOLVABLE
25,28,883.388226697689,0.9997887662058634,PERSISTENTLY_RESOLVABLE
26,27,699.1022481883673,0.999780621736603,PERSISTENTLY_RESOLVABLE
26,28,225.32850377357428,0.9999758122240587,PERSISTENTLY_RESOLVABLE
27,28,1204.4165486458764,0.9996398287759167,PERSISTENTLY_RESOLVABLE
